屯	象: 洗衣机,水底生物,水上运动,潜水艇
蒙	象: 山水画,黑色石,水坝,水窟
需	象: 金寒水冷,水里庞大物体（鲸鱼，鲨鱼，潜水艇）
讼	象: 公共车司机,雨天,轮船，水上运动，水上飞机,光碟，冰河，浮尸
师	象: 水入地中,水族馆,电冰箱
比	象: 水行地上,通达，水灾，小溪，河流
小畜	象: 空中飞行物体（UFO，飞机，直升机，蝴蝶，蜜蜂） 
履	象: 光碟，古钱，保险箱，大铁箱，损坏圆形贵重物品，铜铁类瓶子
泰	象: 方圆图，罗盘，埋尸，入土为安，地下有矿石，地下有宝藏
否	象: 天桥，圆形建筑物，高贵的建筑物，黄财神
同人	象: 能发烫热的金属物（饭锅，微波炉，烤炉，铁板烧，烫斗）红宝石，耳环圈，眼镜，太阳，星星，月亮，彩虹，卫星，路灯，球类，香炉，名车
大有	象: 火圈，红色水晶球，汉堡，炸冰淇淋，太阳，金字塔，铁塔
谦	象: 地下有矿石，山玻，肿瘤，蛋糕，大肚腩，胸部，鼻子，少男，小孩
豫	象: 地震，打地钻，大树
随	象: 跳舞，木雕，木桶 
蛊	象: 山下刮大风，高脚屋，建筑物倒塌，呼吸，山里有棺材，呼吸停止 
临	象: 群众在说笑，游泳池，池塘，箱子，腹部有伤
观	象: 草场
噬嗑	象: 炮竹，生火，说大话，说而动怒
贲	象: 发电站，烧垃圾场，地下室，屋内着火，烤肉
剥	象: 胃不好累积过多食物，空架子，山玻，高楼，高架子
复	象: 人参，树根，浴缸，打地钻，枯井，坟场
无妄	象: 打雷，飞机，圆形容器，鸟类，机器人，肝硬化
大畜	象: 铁架，豪华住宅，金铺，矿山，土地里有尸体
颐	象: 空屋，搬家，扶手电梯，轮椅 
大过	象: 隧道，钩子，说谎，斑马线，裤腰带
 

咸	象: 山塘水库，火山口，山洞穴，井，不能说话了
恒	象: 刮风打雷，风扇，抽风机，扇子，花草树木
遁	象: 铁塔，高的金属铁架，电视转播塔，大山高山
大壮	象: 打雷，飞机，圆形容器，鸟类，肝硬化
晋	象: 地灯，红地砖，日出，白天热天，空地
明夷	象: 地灯，红地砖，日落，夜晚阴天，地下室，地下隧道
家人	象: 煽风点火，吹风筒，萤火虫
睽	象: 电话，发光金属物（电热水壶，杯，电视，烧烤） 
蹇	象: 高山流水，智慧源源不断，山水画，黑色石，岛屿
解	象: 船，潜水艇，水底生物，水上运动，洗衣机
损	象: 山塘水库，火山口，山洞穴，井，不能说话了，饮食店，娱乐中心
益	象: 刮风打雷，风扇，抽风机，扇子，花草树木
夬	象: 双头蛇，头部有破相
姤	象: 车飞驰在高速公路，高速公路，飞机，冷气房，天刮风
萃	象: 肉上开刀，肚子开刀，地上有破洞，游泳池，牛羊，田地上有羊鸡
升	象: 草场，数木生长
困	象: 漏水，滴水，马桶 
井	象: 水中植物（海带，海草），水中动物，漩涡 
革	象: 电话，发光金属物（电热水壶，杯，电视，烧烤） 
鼎	象: 煽风点火，吹风筒，萤火虫


渐	象: 山上刮大风，呼吸 
归妹	象: 木雕，跳舞 
丰	象: 炮竹，生火，说大话 
旅	象: 高挂的灯，屋外着火，火山，火把，烟火台 
 
 
涣	象: 海风，水上居民，水上植物 
节	象: 涨潮，水灾，泡澡 
中孚	象: 亲嘴，吵架 
小过	象: 木屋，扶手电梯 
既济	象: 煮水，煲汤，热饮，灭火 
未济	象: 彼岸光明，海上海塔，水上镭射， 热饮
